visit_date,utm_source,utm_medium,utm_campaign,visitors_count,total_cost,leads_count,purchases_count,revenue
2023-06-01,yandex,cpc,freemium,103,21 654,100,25,1 654 810
2023-06-01,yandex,cpc,prof-frontend,78,57 138,73,12,1 057 000
2023-06-01,yandex,cpc,prof-python,62,33 026,61,7,613 196
2023-06-01,yandex,cpc,base-python,31,12 524,28,7,476 021
2023-06-01,vk,cpc,prof-python,71,2 028,40,5,355 564
2023-06-01,vk,cpc,freemium-frontend,80,3 160,43,5,338 083
2023-06-01,yandex,cpc,prof-java,49,29 490,49,4,284 590
2023-06-01,yandex,cpc,prof-professions-brand,13,4 818,13,3,154 287
2023-06-01,yandex,cpc,base-frontend,40,18 061,39,3,268 515
2023-06-01,vk,cpc,prof-java,51,3 115,23,2,232 726
2023-06-01,yandex,cpc,prof-data-analytics,14,10 086,14,2,220 264
2023-06-01,yandex,cpc,base-professions-retarget,4,151,4,1,134 100
2023-06-01,yandex,cpc,dod-php,4,5 964,4,1,150 255
2023-06-07,vk,social,hexlet-blog,3,0,1,1,84 000
2023-06-20,telegram,cpp,base-java,3,0,1,1,151 192
